Date,Open_USD_CHF,Open_CHF_EUR,Open_CHF_GBP,Open_CHF_JPY,Open_CHF_CAD,Open_USD_JPY,Open_USD_EUR,Open_USD_GBP,Open_USD_CAD,Prev_Close_USD_CHF,Prev_Close_BondCH1m,Prev_Close_BondCH2y,Prev_Close_BondCH10y,Prev_Close_SMI,Prev_Close_BondUS1m,Prev_Close_BondUS2y,Prev_Close_BondUS10y,Prev_Close_SP500
2006-11-30,1.2095,0.6283,0.4246,96.16,0.9403,116.35,0.7601,0.5137,1.1379,1.21,1.79,2.137,2.322,8569.92,5.278,4.691,4.524,1399.48
2006-12-01,1.1981,0.6301,0.4244,96.61,0.9518,115.78,0.7551,0.5085,1.1406,1.1989,1.81,2.148,2.302,8484.57,5.252,4.621,4.462,1400.63
2006-12-04,1.193,0.6286,0.4241,96.76,0.9593,115.43,0.7499,0.5059,1.1446,1.1935,1.82,2.136,2.302,8420.33,5.224,4.529,4.439,1396.71
2006-12-05,1.1934,0.628,0.4228,96.57,0.9551,115.26,0.7497,0.5048,1.1404,1.1946,1.82,2.122,2.295,8479.39,5.162,4.517,4.429,1409.12
2006-12-06,1.1925,0.6294,0.4248,96.28,0.9572,114.84,0.7508,0.5068,1.1422,1.1916,1.82,2.144,2.325,8452.07,4.88,4.521,4.446,1414.76
2006-12-07,1.1962,0.6291,0.4249,96.33,0.959,115.25,0.7527,0.5085,1.1478,1.1956,1.79,2.155,2.332,8509.87,4.91,4.591,4.489,1412.9
2006-12-08,1.1951,0.6295,0.426,96.39,0.9615,115.23,0.7526,0.5093,1.1496,1.1949,1.78,2.178,2.36,8570.91,4.94,4.583,4.487,1407.29
2006-12-11,1.2067,0.6288,0.4245,96.46,0.9518,116.42,0.7588,0.5123,1.149,1.205,1.82,2.182,2.39,8540.87,4.867,4.679,4.55,1409.84
2006-12-12,1.2029,0.6278,0.4246,97.21,0.9535,116.96,0.7553,0.5109,1.1473,1.2029,1.86,2.205,2.427,8594.04,4.836,4.67,4.522,1413.04
2006-12-13,1.1997,0.6273,0.4228,97.3,0.9603,116.76,0.7528,0.5074,1.1527,1.1997,1.83,2.237,2.425,8670.07,4.86,4.62,4.493,1411.56
2006-12-14,1.2062,0.6272,0.4214,97.44,0.959,117.54,0.7566,0.5083,1.157,1.206,1.83,2.232,2.431,8678.54,4.844,4.713,4.587,1413.21
2006-12-15,1.2146,0.6261,0.4198,96.98,0.9523,117.82,0.7607,0.5101,1.1572,1.2144,1.88,2.246,2.443,8776.64,4.859,4.742,4.601,1425.49
2006-12-18,1.2212,0.6255,0.4191,96.54,0.9475,117.94,0.7642,0.512,1.1576,1.2211,1.91,2.27,2.453,8786.89,4.765,4.726,4.599,1427.09
2006-12-19,1.222,0.6243,0.4198,96.6,0.9467,118.12,0.7632,0.5132,1.1577,1.2222,1.92,2.293,2.487,8824.31,4.815,4.721,4.585,1422.48
2006-12-20,1.2144,0.624,0.4181,97.24,0.9483,118.13,0.758,0.5079,1.1522,1.2146,1.91,2.298,2.502,8763.08,4.85,4.717,4.593,1425.55
2006-12-21,1.2177,0.623,0.4178,97.23,0.9434,118.43,0.7589,0.5089,1.1495,1.2175,1.99,2.302,2.468,8770.78,4.89,4.721,4.599,1423.53
2006-12-22,1.2164,0.6237,0.419,97.23,0.9488,118.31,0.759,0.5098,1.1547,1.2167,1.93,2.317,2.467,8775.42,4.813,4.657,4.549,1418.3
2006-12-27,1.2234,0.624,0.4183,97.38,0.9488,119.12,0.7634,0.5117,1.161,1.2229,2.0,1.997,2.448,8726.67,4.779,4.718,4.604,1416.9
2006-12-28,1.2258,0.6215,0.4168,96.91,0.9476,118.83,0.7621,0.5111,1.1621,1.2262,1.95,2.302,2.45,8822.19,4.752,4.787,4.654,1426.84
2006-12-29,1.2217,0.6223,0.4169,97.3,0.9495,118.91,0.7605,0.5094,1.1606,1.2216,1.94,2.316,2.47,8803.26,4.757,4.804,4.686,1424.73
2007-01-03,1.2132,0.6208,0.4175,97.91,0.9594,118.81,0.7532,0.5066,1.1643,1.2132,1.97,1.962,2.484,8785.74,4.753,4.804,4.684,1418.3
2007-01-04,1.2262,0.6192,0.4178,97.33,0.9563,119.36,0.7594,0.5125,1.173,1.2265,2.01,2.336,2.449,8920.17,4.956,4.766,4.664,1416.6
2007-01-05,1.2327,0.6198,0.4174,96.53,0.9553,119.01,0.7641,0.5146,1.178,1.2329,2.03,2.331,2.456,8925.21,4.798,4.704,4.608,1418.34
2007-01-08,1.235,0.6219,0.4193,96.03,0.9493,118.63,0.7683,0.518,1.173,1.2361,2.06,2.336,2.508,8900.17,4.796,4.762,4.648,1409.71
2007-01-09,1.2363,0.6209,0.4172,96.06,0.9501,118.8,0.7677,0.5159,1.1751,1.2367,2.03,2.351,2.535,8850.25,4.831,4.787,4.658,1412.84
2007-01-10,1.2409,0.6196,0.4153,96.14,0.9476,119.34,0.7691,0.5155,1.1764,1.2412,2.0,2.345,2.594,8874.0,4.906,4.8,4.662,1412.11
2007-01-11,1.2464,0.62,0.415,95.96,0.9419,119.64,0.773,0.5174,1.1746,1.2469,1.98,2.35,2.619,8861.6,4.946,4.816,4.69,1414.85
2007-01-12,1.2495,0.6206,0.4113,96.4,0.9422,120.45,0.7756,0.5141,1.1778,1.2491,2.02,2.365,2.616,8987.91,4.976,4.867,4.739,1423.82
2007-01-16,1.2484,0.6187,0.4075,96.42,0.9344,120.41,0.7728,0.509,1.1675,1.2488,2.0,2.574,2.689,9101.65,4.958,4.897,4.646,1430.73
2007-01-17,1.2481,0.6201,0.4084,96.64,0.9422,120.63,0.7741,0.5098,1.1763,1.2484,2.0,2.548,2.624,9073.0,4.988,4.867,4.753,1431.9
2007-01-18,1.2471,0.6194,0.4069,96.71,0.9399,120.64,0.7728,0.5076,1.1727,1.2475,2.02,2.515,2.589,9104.6,5.008,4.91,4.785,1430.62
2007-01-19,1.2468,0.6185,0.4061,97.19,0.9412,121.21,0.7714,0.5065,1.174,1.2475,2.0,2.53,2.598,9099.35,4.956,4.889,4.749,1426.37
2007-01-22,1.2474,0.618,0.4058,97.15,0.9393,121.24,0.7714,0.5065,1.1725,1.2476,2.01,2.519,2.581,9155.12,4.954,4.932,4.783,1430.5
2007-01-23,1.249,0.6182,0.405,97.35,0.9462,121.62,0.7723,0.506,1.1823,1.2492,1.98,2.483,2.551,9102.15,4.953,4.915,4.761,1422.95
2007-01-24,1.242,0.6182,0.4062,97.89,0.9503,121.62,0.7679,0.5047,1.1808,1.2428,2.0,2.492,2.544,9105.5,5.044,4.954,4.81,1427.99
