Date,Close,US_infl,CH_infl,US_IR,SARON_close
2007-11-09,1.121,0.593961787,0.5,3.42,1.999057
2007-11-12,1.1294,0.593961787,0.5,3.42,2.027775
2007-11-13,1.1257,0.593961787,0.5,3.73,2.085884
2007-11-14,1.123,0.593961787,0.5,3.86,2.11455
2007-11-15,1.1225,0.593961787,0.5,3.74,2.177649
2007-11-16,1.1186,0.593961787,0.5,3.78,2.165636
2007-11-19,1.1147,0.593961787,0.5,3.74,2.15257
2007-11-20,1.106,0.593961787,0.5,3.65,2.107541
2007-11-21,1.1017,0.593961787,0.5,3.54,2.11934
2007-11-22,1.101,0.593961787,0.5,3.54,2.051829
2007-11-23,1.1019,0.593961787,0.5,3.64,2.041068
2007-11-26,1.1019,0.593961787,0.5,3.53,1.995715
2007-11-27,1.1051,0.593961787,0.5,3.68,1.954819
2007-11-28,1.1108,0.593961787,0.5,3.52,1.944365
2007-11-29,1.1167,0.593961787,0.5,3.38,2.079579
2007-11-30,1.1321,0.593961787,0.5,3.63,2.115592
2007-12-03,1.127,-0.067086313,0.2,3.55,2.046773
2007-12-04,1.1171,-0.067086313,0.2,3.16,2.034052
2007-12-05,1.1284,-0.067086313,0.2,3.15,2.025475
2007-12-06,1.1279,-0.067086313,0.2,3.09,2.049244
2007-12-07,1.1283,-0.067086313,0.2,3.04,2.003123
2007-12-10,1.1281,-0.067086313,0.2,3.05,1.98124
2007-12-11,1.12988,-0.067086313,0.2,2.89,1.955891
2007-12-12,1.1342,-0.067086313,0.2,2.89,1.844594
2007-12-13,1.1414,-0.067086313,0.2,2.7,1.884569
2007-12-14,1.1509,-0.067086313,0.2,2.61,1.851815
2007-12-17,1.1494,-0.067086313,0.2,2.78,1.84741
2007-12-18,1.1494,-0.067086313,0.2,2.76,1.820065
2007-12-19,1.1546,-0.067086313,0.2,2.66,1.832966
2007-12-20,1.1582,-0.067086313,0.2,2.42,1.842934
2007-12-21,1.155,-0.067086313,0.2,2.44,1.875118
2007-12-24,1.1565,-0.067086313,0.2,2.75,1.860395
2007-12-25,1.1586,-0.067086313,0.2,2.75,1.860395
2007-12-26,1.1511,-0.067086313,0.2,3.04,1.860395
2007-12-27,1.1401,-0.067086313,0.2,2.85,1.90135
2007-12-28,1.1267,-0.067086313,0.2,2.57,1.839178
2007-12-31,1.132,-0.067086313,0.2,2.76,1.873853
2008-01-01,1.1313,0.497057647,-0.3,2.76,1.873853
2008-01-02,1.1192,0.497057647,-0.3,3.09,1.873853
2008-01-03,1.1115,0.497057647,-0.3,3.19,1.996285
2008-01-04,1.1071,0.497057647,-0.3,3.22,1.923343
2008-01-07,1.1178,0.497057647,-0.3,3.27,1.879856
2008-01-08,1.1122,0.497057647,-0.3,3.31,1.960335
2008-01-09,1.1162,0.497057647,-0.3,3.34,1.876949
2008-01-10,1.1044,0.497057647,-0.3,3.37,1.836502
2008-01-11,1.1,0.497057647,-0.3,3.23,1.838847
2008-01-14,1.0929,0.497057647,-0.3,3.2,2.157294
2008-01-15,1.0913,0.497057647,-0.3,3.15,2.046804
2008-01-16,1.0989,0.497057647,-0.3,3.14,2.031549
2008-01-17,1.1005,0.497057647,-0.3,3.07,1.937789
